City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,6.91,81,40,5.66,SJ,1691465680
1,port-aux-francais,-49.35,70.2167,2.87,75,38,15.71,TF,1691465611
2,albany,42.6001,-73.9662,22.43,92,100,3.61,US,1691466089
3,atafu village,-8.5421,-172.5159,28.37,71,26,6.28,TK,1691466089
4,puerto ayora,-0.7393,-90.3518,24.19,88,100,2.68,EC,1691465708
5,bredasdorp,-34.5322,20.0403,11.34,92,15,2.85,ZA,1691465661
6,margaret river,-33.95,115.0667,14.55,79,95,10.19,AU,1691465615
7,iskateley,67.6803,53.1512,11.83,65,89,4.32,RU,1691466090
8,bikenibeu village,1.3673,173.1241,28.98,84,75,1.54,KI,1691466090
9,grytviken,-54.2811,-36.5092,-6.79,81,15,4.44,GS,1691465615
10,tommot,58.9564,126.2925,25.21,49,6,4.49,RU,1691466090
11,bethel,41.3712,-73.414,24.17,87,40,2.57,US,1691465342
12,ushuaia,-54.8,-68.3,1.81,87,0,2.06,AR,1691465887
13,tolanaro,-25.0319,46.9987,18.04,100,75,5.14,MG,1691465858
14,vila velha,-20.3297,-40.2925,21.97,92,0,3.6,BR,1691466091
15,wailua homesteads,22.0669,-159.378,29.24,79,40,8.75,US,1691466091
16,tiksi,71.6872,128.8694,10.66,55,41,2.03,RU,1691466091
17,edinburgh of the seven seas,-37.0676,-12.3116,14.7,77,84,19.05,SH,1691466091
18,blackmans bay,-43.0167,147.3167,14.18,59,17,1.76,AU,1691466091
19,aasiaat,68.7098,-52.8699,0.11,85,15,1.07,GL,1691466091
20,suncho corral,-27.9336,-63.4294,12.11,35,46,3.62,AR,1691466092
21,fortaleza,-3.7227,-38.5247,27.07,74,75,7.2,BR,1691465702
22,los zacatones,22.95,-102.05,19.77,50,0,11.8,MX,1691466092
23,naze,28.3667,129.4833,26.51,90,93,12.85,JP,1691466092
24,adamstown,-25.066,-130.1015,21.16,75,55,5.41,PN,1691465614
25,aykhal,66.0,111.5,22.42,34,71,4.96,RU,1691465666
26,swiebodzin,52.2475,15.5336,11.83,78,79,7.06,PL,1691466094
27,port lincoln,-34.7333,135.8667,16.08,45,0,3.79,AU,1691466094
28,codrington,-38.2667,141.9667,14.26,59,0,3.14,AU,1691466094
29,avarua,-21.2078,-159.775,23.03,68,40,1.54,CK,1691465640
30,waitangi,-43.9535,-176.5597,10.46,83,100,0.89,NZ,1691466095
31,tralee,52.2704,-9.7026,13.32,97,98,1.24,IE,1691466095
32,zhalantun,48.0,122.7167,19.99,73,91,5.21,CN,1691466095
33,sanya,18.2431,109.505,31.09,70,75,6.0,CN,1691466095
34,kirakira,-10.4544,161.9205,26.23,86,92,2.66,SB,1691466095
35,papatowai,-46.5619,169.4708,6.15,73,80,6.66,NZ,1691465687
36,san patricio,28.017,-97.5169,30.05,77,0,6.64,US,1691466096
37,ribeira grande,38.5167,-28.7,20.99,84,2,2.68,PT,1691466096
38,santana,-0.0583,-51.1817,28.1,89,40,3.09,BR,1691466096
39,olyokminsk,60.3736,120.4264,30.33,33,2,3.7,RU,1691465646
40,val-d'or,48.1002,-77.7828,14.05,94,100,3.6,CA,1691466029
41,sarkand,45.41,79.9186,26.19,42,94,2.85,KZ,1691466096
42,zhangye,38.9342,100.4517,34.83,15,56,0.31,CN,1691466097
43,qaqortoq,60.7167,-46.0333,4.86,88,4,1.36,GL,1691465663
44,weno,7.4515,151.8468,26.97,94,100,2.57,FM,1691466097
45,labrador city,52.9463,-66.9114,13.95,88,100,0.0,CA,1691466097
46,greymouth,-42.4667,171.2,8.81,70,86,0.68,NZ,1691466097
47,galesong,-5.3166,119.3661,32.01,57,4,1.52,ID,1691466097
48,horawala junction,6.4809,80.1271,27.66,80,91,3.39,LK,1691466098
49,tulle,45.3333,1.8333,10.74,78,60,1.35,FR,1691466098
50,thompson,55.7435,-97.8558,13.09,82,75,2.57,CA,1691465922
51,punto fijo,11.6956,-70.1996,27.66,84,7,11.53,VE,1691466098
52,katsuura,35.1333,140.3,30.01,75,98,3.91,JP,1691466098
53,la passe,45.5549,-0.8967,13.88,72,32,2.24,FR,1691466098
54,balabac,7.9868,117.0645,30.29,70,10,4.81,PH,1691466099
55,kuraymah,18.55,31.85,30.92,47,70,3.67,SD,1691466099
56,kalevala,65.2,31.1667,18.46,85,0,4.51,RU,1691466099
57,muisne,0.6,-80.0333,24.99,86,94,2.95,EC,1691466099
58,constantia,44.1833,28.65,20.39,56,18,7.41,RO,1691466099
59,leava,-14.3,-178.1667,27.63,75,34,2.2,WF,1691466099
60,dudinka,69.4058,86.1778,19.79,58,100,4.35,RU,1691466100
61,coahuayana de hidalgo,18.7,-103.6583,26.67,86,71,1.42,MX,1691466100
62,alice springs,-23.7,133.8833,21.75,30,3,5.14,AU,1691466100
63,ujae,8.9322,165.7642,27.82,77,100,6.68,MH,1691466100
64,puerto natales,-51.7236,-72.4875,-0.44,86,100,1.01,CL,1691465549
65,brookings,44.3114,-96.7984,19.1,84,40,0.0,US,1691466100
66,hamilton,39.1834,-84.5333,21.11,86,28,0.89,US,1691465651
67,kavaratti,10.5669,72.642,27.89,76,100,8.25,IN,1691466101
68,shemonaikha,50.6328,81.9056,23.79,46,55,1.76,KZ,1691466101
69,selfoss,63.9331,-20.9971,10.58,88,99,2.01,IS,1691465680
70,port elizabeth,-33.918,25.5701,14.16,82,0,7.2,ZA,1691466101
71,kingston,17.997,-76.7936,29.53,77,20,2.57,JM,1691465485
72,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.51,GF,1691465846
73,hawaiian paradise park,19.5933,-154.9731,27.73,79,75,4.63,US,1691466102
74,bodaybo,57.8506,114.1933,28.27,44,27,0.39,RU,1691466102
